epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,648.319,0.47201,0.32815,0.9005,0.83725,0.80927,0.86947,0.68859,0.83321,0.53388,1.1249,0.0095941,0.0095941,0.0095941
43,662.057,0.47938,0.33114,0.90228,0.88683,0.78215,0.87868,0.69744,0.82548,0.5787,1.08816,0.0095842,0.0095842,0.0095842
44,675.687,0.47624,0.33051,0.89183,0.87771,0.79349,0.88411,0.6763,0.86559,0.54694,1.09573,0.0095743,0.0095743,0.0095743
45,689.505,0.4542,0.31954,0.88483,0.92588,0.74253,0.88611,0.67169,0.8003,0.56601,1.11196,0.0095644,0.0095644,0.0095644
46,703.576,0.47544,0.33742,0.89907,0.89687,0.80947,0.89591,0.68779,0.82783,0.56074,1.14171,0.0095545,0.0095545,0.0095545
47,717.138,0.46567,0.32853,0.89965,0.87253,0.83253,0.89928,0.67252,0.79735,0.53635,1.11521,0.0095446,0.0095446,0.0095446
48,730.713,0.46218,0.3306,0.89492,0.79796,0.82441,0.89102,0.65938,0.90426,0.56649,1.12455,0.0095347,0.0095347,0.0095347
49,744.375,0.45579,0.32516,0.88894,0.84682,0.79311,0.89539,0.67685,0.78299,0.5624,1.11104,0.0095248,0.0095248,0.0095248
50,758.485,0.47747,0.33124,0.89558,0.86334,0.77633,0.89918,0.66262,0.82487,0.56173,1.14756,0.0095149,0.0095149,0.0095149
51,772.706,0.47042,0.32207,0.89464,0.83083,0.80921,0.87669,0.68706,0.79217,0.57919,1.10268,0.009505,0.009505,0.009505
52,786.814,0.45715,0.32636,0.8964,0.85998,0.81036,0.86877,0.67161,0.79128,0.61324,1.06792,0.0094951,0.0094951,0.0094951
53,800.734,0.46398,0.32469,0.89715,0.86286,0.80776,0.89992,0.68076,0.7823,0.53276,1.07634,0.0094852,0.0094852,0.0094852
54,814.559,0.46014,0.32,0.88696,0.8761,0.7989,0.89657,0.69561,0.79202,0.62022,1.10567,0.0094753,0.0094753,0.0094753
