epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2322,1.31083,1.7295,1.36954,0.54861,0.41257,0.44867,0.29073,0.84178,2.97091,1.10485,0.00330303,0.00330303,0.00330303
2,53.4295,0.97391,0.68379,1.10461,0.60373,0.41532,0.51558,0.28909,1.19083,3.53875,1.20102,0.00662979,0.00662979,0.00662979
3,76.6128,0.94247,0.65833,1.07635,0.50562,0.51347,0.50719,0.30448,1.11042,4.39634,1.21525,0.00994996,0.00994996,0.00994996
4,103.077,0.9754,0.64648,1.09609,0.50548,0.46165,0.52286,0.29599,0.9887,3.86764,1.17206,0.0099703,0.0099703,0.0099703
5,129.946,0.95855,0.6159,1.08357,0.51234,0.49535,0.49042,0.3031,1.10079,3.63827,1.19629,0.0099604,0.0099604,0.0099604
6,153.099,0.89714,0.57452,1.05487,0.52456,0.46986,0.48164,0.23431,1.09235,3.98905,1.2237,0.0099505,0.0099505,0.0099505
7,176.692,0.87458,0.57653,1.0425,0.51411,0.47111,0.50068,0.25622,0.9753,3.71644,1.16809,0.0099406,0.0099406,0.0099406
8,200.351,0.84406,0.55009,1.0283,0.56433,0.47556,0.52888,0.2834,0.97269,3.71786,1.16572,0.0099307,0.0099307,0.0099307
9,222.902,0.83265,0.54681,1.02474,0.53177,0.51111,0.52585,0.27727,1.24618,3.7634,1.23653,0.0099208,0.0099208,0.0099208
10,246.016,0.81226,0.52536,1.01638,0.54867,0.50293,0.52017,0.29634,1.00205,4.0365,1.17541,0.0099109,0.0099109,0.0099109
11,268.861,0.78935,0.50432,1.01215,0.53187,0.49512,0.51251,0.28875,0.92621,3.97787,1.15117,0.009901,0.009901,0.009901
12,292.356,0.77369,0.48934,1.00008,0.56403,0.55556,0.57817,0.31936,0.95963,3.89951,1.15134,0.0098911,0.0098911,0.0098911
13,317.029,0.77136,0.49642,0.99733,0.5621,0.50163,0.52172,0.28165,1.01134,4.0911,1.18012,0.0098812,0.0098812,0.0098812
14,341.518,0.74761,0.48726,0.99246,0.55971,0.55069,0.54175,0.27135,1.12219,3.83556,1.21675,0.0098713,0.0098713,0.0098713
